,latitude,longitude
0,48.987167,2.083511
1,48.847001,2.440301
2,48.857014,2.4293549999999997
3,48.871953999999995,2.365769
4,48.862367,2.462909
5,48.931057,2.277365
6,48.908795,2.236955
7,48.931409,2.349671
8,48.890879,2.2410099999999997
9,48.87216,2.226591
10,48.897982,2.198712
11,48.84405,2.250096
12,48.846610999999996,2.315943
13,48.901255,2.247276
14,48.88406,2.235403
15,48.88154,2.323922
16,48.84774,2.367746
17,48.849574,2.256537
18,48.872147,2.408443
19,48.895486,2.236756
20,48.847148,2.189387
21,49.298974,-0.07635700000000001
22,48.879616,2.324579
23,48.878814,2.293602
24,48.83988,2.346044
25,48.852426,2.488028
26,48.840059000000004,2.3815630000000003
27,48.881071999999996,2.47673
28,48.830073999999996,2.35075
29,48.818618,2.277693
30,48.890646999999994,2.235075
31,48.845974,2.373786
32,48.851634000000004,2.321053
33,48.951980999999996,2.153465
34,48.849013,2.338702
35,48.771144,2.301263
36,48.829269000000004,2.2947759999999997
37,48.845721000000005,2.36898
38,48.920446000000005,2.25292
39,48.828406,2.266205
40,48.921688,2.368451
41,48.934446,2.268822
42,48.943049,2.230955
43,48.886167,2.187152
44,48.924021999999994,2.217278
45,48.948631,2.1942180000000002
46,48.822221,1.960765
47,48.802046999999995,1.9631330000000002
48,48.779311,1.9851849999999998
49,48.890347999999996,2.305957
50,48.855993,2.217196
51,48.882978,2.233262
52,48.876825,2.3239669999999997
53,48.916579,2.338584
54,48.875754,2.338348
55,48.854371,2.373968
56,48.885816999999996,2.368643
57,48.874421000000005,2.355112
58,48.851409999999994,2.355555
59,48.882769,2.265222
60,48.891086,2.220478
61,48.848162,2.426891
62,48.840416,2.3217060000000003
63,48.861216999999996,2.409298
64,48.889773,2.255514
65,48.828742,2.37953
66,48.904159,2.199341
67,48.884114000000004,2.164349
68,48.86721,2.141187
69,48.943181,2.4541880000000003
70,48.931604,2.425697
71,48.840747,2.241791
72,48.924890000000005,2.389242
73,48.901534999999996,2.30708
74,48.893915,2.313927
75,48.89909,2.2200189999999997
76,48.793625,2.419428
77,48.770068,2.381545
78,48.753772,2.3606
79,48.761417,2.316636
80,48.760405,2.282101
81,48.795659,2.0594200000000003
82,48.777735,2.459751
83,48.789387,2.44484
84,48.796765,2.457348
85,48.884494000000004,2.382746
86,48.871241,2.316971
87,48.876205,2.344115
88,48.805310999999996,2.122044
89,48.900755,2.396103
90,48.870015,2.310062
91,47.389682,2.9231580000000004
92,47.191586,3.013307
93,47.095917,3.0060740000000004
